Label	Runlength	Gen	Randomizer	PID	Thinning	Mu	Nodes	Param1	Param2	Param3	Independence-Rate
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	32	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	1	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	9	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	13	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	34	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	6	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	19	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	38	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	15	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	29	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	17	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	33	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	11	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	7	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	4	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	27	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	22	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	14	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	25	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	39	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	37	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	30	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	2	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	26	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	18	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	16	1.0	500	0.5	-	-	8.817635270541082e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	32	1.0	500	0.5	-	-	0.9130901803607214
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	64	1.0	500	0.5	-	-	0.9919519038076152
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	150	1.0	500	0.5	-	-	0.9914148296593186
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	300	1.0	500	0.5	-	-	0.9913346693386773
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	16	1.0	500	0.5	-	-	9.619238476953908e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	32	1.0	500	0.5	-	-	0.9113987975951904
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	64	1.0	500	0.5	-	-	0.991815631262525
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	150	1.0	500	0.5	-	-	0.9910380761523047
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	300	1.0	500	0.5	-	-	0.9912464929859719
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	16	1.0	500	0.5	-	-	6.412825651302605e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	32	1.0	500	0.5	-	-	0.9112464929859719
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	64	1.0	500	0.5	-	-	0.990997995991984
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	150	1.0	500	0.5	-	-	0.991118236472946
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	300	1.0	500	0.5	-	-	0.9917835671342685
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	16	1.0	500	0.5	-	-	0.00011222444889779559
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	32	1.0	500	0.5	-	-	0.9152865731462926
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	64	1.0	500	0.5	-	-	0.9919919839679359
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	150	1.0	500	0.5	-	-	0.9914468937875751
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	300	1.0	500	0.5	-	-	0.9915350701402805
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	16	1.0	500	0.5	-	-	8.016032064128256e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	32	1.0	500	0.5	-	-	0.9134749498997996
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	64	1.0	500	0.5	-	-	0.9913907815631262
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	150	1.0	500	0.5	-	-	0.991503006012024
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	300	1.0	500	0.5	-	-	0.9916392785571142
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	16	1.0	500	0.5	-	-	0.00010420841683366733
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	32	1.0	500	0.5	-	-	0.9142925851703407
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	64	1.0	500	0.5	-	-	0.9915430861723447
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	150	1.0	500	0.5	-	-	0.9917675350701403
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	300	1.0	500	0.5	-	-	0.991438877755511
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	16	1.0	500	0.5	-	-	7.214428857715431e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	32	1.0	500	0.5	-	-	0.9136913827655311
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	64	1.0	500	0.5	-	-	0.9912625250501002
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	150	1.0	500	0.5	-	-	0.9912945891783567
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	300	1.0	500	0.5	-	-	0.9911743486973947
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	16	1.0	500	0.5	-	-	6.412825651302605e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	32	1.0	500	0.5	-	-	0.914877755511022
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	64	1.0	500	0.5	-	-	0.9916472945891783
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	150	1.0	500	0.5	-	-	0.9919278557114228
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	300	1.0	500	0.5	-	-	0.9912464929859719
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	4	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	4	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	4	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	4	16	1.0	500	0.5	-	-	9.619238476953908e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	4	32	1.0	500	0.5	-	-	0.9102204408817636
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	4	64	1.0	500	0.5	-	-	0.9918557114228457
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	4	150	1.0	500	0.5	-	-	0.9912785571142284
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	4	300	1.0	500	0.5	-	-	0.9911102204408818
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	19	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	19	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	19	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	19	16	1.0	500	0.5	-	-	0.00010420841683366733
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	19	32	1.0	500	0.5	-	-	0.9130420841683367
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	19	64	1.0	500	0.5	-	-	0.9914308617234469
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	19	150	1.0	500	0.5	-	-	0.9917835671342685
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	19	300	1.0	500	0.5	-	-	0.9910781563126253
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	13	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	13	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	13	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	13	16	1.0	500	0.5	-	-	3.2064128256513025e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	13	32	1.0	500	0.5	-	-	0.9116152304609219
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	13	64	1.0	500	0.5	-	-	0.9910460921843688
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	13	150	1.0	500	0.5	-	-	0.9914629258517034
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	13	300	1.0	500	0.5	-	-	0.9910380761523047
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	7	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	7	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	7	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	7	16	1.0	500	0.5	-	-	4.809619238476954e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	7	32	1.0	500	0.5	-	-	0.9127374749498998
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	7	64	1.0	500	0.5	-	-	0.9913907815631262
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	7	150	1.0	500	0.5	-	-	0.991318637274549
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	7	300	1.0	500	0.5	-	-	0.9911503006012023
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	11	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	11	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	11	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	11	16	1.0	500	0.5	-	-	4.809619238476954e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	11	32	1.0	500	0.5	-	-	0.9086653306613226
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	11	64	1.0	500	0.5	-	-	0.9911503006012023
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	11	150	1.0	500	0.5	-	-	0.9913026052104208
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	11	300	1.0	500	0.5	-	-	0.9917034068136272
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	9	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	9	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	9	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	9	16	1.0	500	0.5	-	-	0.00014428857715430862
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	9	32	1.0	500	0.5	-	-	0.9141322645290582
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	9	64	1.0	500	0.5	-	-	0.9915430861723447
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	9	150	1.0	500	0.5	-	-	0.9913026052104208
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	9	300	1.0	500	0.5	-	-	0.9909659318637275
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	2	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	2	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	2	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	2	16	1.0	500	0.5	-	-	7.214428857715431e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	2	32	1.0	500	0.5	-	-	0.9148617234468938
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	2	64	1.0	500	0.5	-	-	0.9914549098196392
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	2	150	1.0	500	0.5	-	-	0.9915911823647294
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	2	300	1.0	500	0.5	-	-	0.9913106212424849
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	5	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	5	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	5	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	5	16	1.0	500	0.5	-	-	8.817635270541082e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	5	32	1.0	500	0.5	-	-	0.916
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	5	64	1.0	500	0.5	-	-	0.9912224448897795
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	5	150	1.0	500	0.5	-	-	0.9910941883767536
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	5	300	1.0	500	0.5	-	-	0.9912705410821643
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	8	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	8	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	8	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	8	16	1.0	500	0.5	-	-	6.412825651302605e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	8	32	1.0	500	0.5	-	-	0.9111342685370741
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	8	64	1.0	500	0.5	-	-	0.9913106212424849
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	8	150	1.0	500	0.5	-	-	0.9910941883767536
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	8	300	1.0	500	0.5	-	-	0.9917354709418837
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	0	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	0	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	0	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	0	16	1.0	500	0.5	-	-	0.00010420841683366733
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	0	32	1.0	500	0.5	-	-	0.9151422845691383
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	0	64	1.0	500	0.5	-	-	0.9910300601202405
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	0	150	1.0	500	0.5	-	-	0.9913907815631262
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	0	300	1.0	500	0.5	-	-	0.9916312625250501
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	17	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	17	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	17	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	17	16	1.0	500	0.5	-	-	2.404809619238477e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	17	32	1.0	500	0.5	-	-	0.9121282565130261
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	17	64	1.0	500	0.5	-	-	0.9913587174348697
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	17	150	1.0	500	0.5	-	-	0.991751503006012
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	17	300	1.0	500	0.5	-	-	0.9909098196392786
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	12	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	12	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	12	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	12	16	1.0	500	0.5	-	-	3.2064128256513025e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	12	32	1.0	500	0.5	-	-	0.910124248496994
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	12	64	1.0	500	0.5	-	-	0.9910140280561123
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	12	150	1.0	500	0.5	-	-	0.9909899799599199
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	12	300	1.0	500	0.5	-	-	0.9917114228456914
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	6	1	1.0	1000	-2.0	5	1000	0.06607124263914758
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	2	1	1.0	1000	-2.0	5	1000	0.06882625475338988
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	19	1	1.0	1000	-2.0	5	1000	0.07601969638786135
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	4	1	1.0	1000	-2.0	5	1000	0.05714550767660838
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	11	1	1.0	1000	-2.0	5	1000	0.05635167207533853
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	17	1	1.0	1000	-2.0	5	1000	0.07024100259862161
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	8	1	1.0	1000	-2.0	5	1000	0.05194973960155539
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	14	1	1.0	1000	-2.0	5	1000	0.05622704249313691
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	10	1	1.0	1000	-2.0	5	1000	0.060372370345370685
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	3	1	1.0	1000	-2.0	5	1000	0.068989498226356
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	18	1	1.0	1000	-2.0	5	1000	0.06881233171024609
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	7	1	1.0	1000	-2.0	5	1000	0.06271900288769931
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	9	1	1.0	1000	-2.0	5	1000	0.06213797056205261
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	15	1	1.0	1000	-2.0	5	1000	0.056836059814568726
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	16	1	1.0	1000	-2.0	5	1000	0.07134617892213406
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	1	1	1.0	1000	-2.0	5	1000	0.05088214469306796
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	0	1	1.0	1000	-2.0	5	1000	0.06545713269299182
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	13	1	1.0	1000	-2.0	5	1000	0.0739060500276382
PLDHH_RUN0	1000	PLDHH	NETWORKIT_ES	5	1	1.0	1000	-2.0	5	1000	0.044880517289851
